# Weather station Los Angeles (airport), USA, WMO_ID=72295,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72295&lang=en
#
"Local time in Los Angeles (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.11.2019 22:00";"16.1";"753.3";"757.4";"";"44";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"";"17.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"3.9";"";"";"";"";"";"";
"26.11.2019 16:00";"17.2";"753.7";"757.9";"";"35";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"12.8";"19.4";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"26.11.2019 10:00";"17.8";"756.6";"760.5";"";"21";"";"2";"";"";"20–30%.";" ";"";"";"13.9";"17.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"26.11.2019 04:00";"15.0";"754.6";"758.6";"";"24";"";"2";"";"";"20–30%.";" ";"";"";"12.8";"21.1";"";"";"300-600";"";"";"14.0";"-5.6";"";"";"";"";"";"";
"25.11.2019 22:00";"15.6";"753.0";"757.1";"";"78";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"11.7";"18.9";"";"";"";"";"";"16.0";"11.7";"";"";"";"";"";"";
"25.11.2019 16:00";"17.8";"752.2";"756.3";"";"68";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"11.7";"21.1";"";"";"600-1000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"25.11.2019 10:00";"17.8";"756.3";"760.4";"";"63";"";"3";"";"";"50%.";" ";"";"";"10.6";"18.3";"";"";"300-600";"";"";"16.0";"10.6";"";"";"";"";"";"";
"25.11.2019 04:00";"12.2";"756.1";"760.1";"";"64";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"11.7";"25.6";"";"";"300-600";"";"";"16.0";"5.6";"";"";"";"";"";"";
"24.11.2019 22:00";"16.7";"757.8";"761.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"20.0";"";"";"";"";"";"16.0";"10.6";"";"";"";"";"";"";
"24.11.2019 16:00";"20.0";"757.6";"761.7";"";"47";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"12.8";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"8.3";"";"";"";"";"";"";
"24.11.2019 10:00";"21.7";"760.6";"764.8";"";"25";"Wind blowing from the north-northeast";"3";"";"";"50%.";" ";"";"";"11.7";"21.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"0.6";"";"";"";"";"";"";
"24.11.2019 04:00";"13.9";"759.4";"763.4";"";"47";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"12.8";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
"23.11.2019 22:00";"16.7";"760.1";"764.1";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.9";"21.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"11.1";"";"";"";"";"";"";
"23.11.2019 16:00";"21.1";"758.6";"762.6";"";"38";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"13.9";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"6.1";"";"";"";"";"";"";
"23.11.2019 10:00";"20.6";"761.6";"765.7";"";"35";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"13.3";"20.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"4.4";"";"";"";"";"";"";
"23.11.2019 04:00";"13.9";"760.9";"764.8";"";"60";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";" ";"";"";"13.9";"21.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"6.1";"";"";"";"";"";"";
"22.11.2019 22:00";"16.7";"760.9";"765.0";"";"70";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"13.3";"18.9";"";"";"";"";"";"16.0";"11.1";"";"";"";"";"";"";
"22.11.2019 16:00";"18.9";"759.8";"763.9";"";"54";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"13.3";"21.7";"";"";"1500-2000";"";"";"16.0";"9.4";"";"";"";"";"";"";
"22.11.2019 10:00";"18.3";"762.1";"766.1";"";"52";"Wind blowing from the east-southeast";"3";"";"";"50%.";" ";"";"";"12.8";"18.9";"";"";"1500-2000";"";"";"16.0";"8.3";"";"";"";"";"";"";
"22.11.2019 04:00";"13.9";"760.3";"764.3";"";"74";"";"3";"";"";"70 – 80%.";" ";"";"";"13.3";"19.4";"";"";"600-1000";"";"";"16.0";"9.4";"";"";"";"";"";"";
"21.11.2019 22:00";"15.6";"759.4";"763.3";"";"70";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"11.7";"17.8";"";"";"600-1000";"";"";"16.0";"10.0";"";"";"";"";"";"";
"21.11.2019 16:00";"17.8";"755.8";"760.0";"";"60";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"11.7";"19.4";"";"";"2000-2500";"";"";"16.0";"10.0";"";"";"";"";"";"";
"21.11.2019 10:00";"17.2";"754.8";"759.0";"";"60";"Wind blowing from the east";"4";"";"";"50%.";" ";"";"";"11.7";"17.2";"";"";"600-1000";"";"";"16.0";"9.4";"";"";"";"";"";"";
"21.11.2019 04:00";"12.8";"752.2";"756.4";"";"69";"Wind blowing from the north-east";"3";"";"";"50%.";" ";"";"";"11.7";"";"";"";"600-1000";"";"";"16.0";"7.2";"0.5";"6";"";"";"";"";
"20.11.2019 22:00";"13.3";"751.0";"755.1";"";"72";"Wind blowing from the east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"12.8";"17.8";"";"";"1000-1500";"";"";"16.0";"8.3";"Trace of precipitation";"6";"";"";"";"";
"20.11.2019 16:00";"13.9";"748.2";"752.1";"";"64";"Wind blowing from the east";"4";"";"";"70 – 80%.";" ";"";"";"11.7";"17.2";"";"";"1500-2000";"";"";"16.0";"7.2";"9.0";"6";"";"";"";"";
"20.11.2019 10:00";"15.0";"747.4";"751.3";"";"67";"Wind blowing from the south-west";"7";"";"";"70 – 80%.";" ";"";"";"15.0";"17.8";"";"";"600-1000";"";"";"12.0";"8.9";"Trace of precipitation";"6";"";"";"";"";
"20.11.2019 04:00";"16.1";"745.7";"749.7";"";"67";"Wind blowing from the west-southwest";"7";"";"";"70 – 80%.";" ";"";"";"16.1";"";"";"";"600-1000";"";"";"16.0";"10.0";"Trace of precipitation";"6";"";"";"";"";
"19.11.2019 22:00";"17.2";"746.7";"750.5";"";"73";"Wind blowing from the west";"7";"";"";"70 – 80%.";" ";"";"";"16.7";"21.1";"";"";"300-600";"";"";"16.0";"12.2";"0.3";"6";"";"";"";"";
"19.11.2019 16:00";"18.9";"748.5";"752.5";"";"75";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"16.7";"26.1";"";"";"300-600";"";"";"16.0";"14.4";"";"";"";"";"";"";
"19.11.2019 10:00";"23.9";"751.3";"755.3";"";"23";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";" ";"";"";"16.7";"24.4";"";"";"2000-2500";"";"";"16.0";"1.7";"";"";"";"";"";"";
"19.11.2019 04:00";"16.7";"751.7";"755.5";"";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.7";"33.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"7.8";"";"";"";"";"";"";
"18.11.2019 22:00";"20.6";"753.5";"757.3";"";"47";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"16.7";"25.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"8.9";"";"";"";"";"";"";
"18.11.2019 16:00";"25.6";"752.5";"756.6";"";"31";"Wind blowing from the west";"6";"";"";"50%.";" ";"";"";"16.7";"33.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"7.2";"";"";"";"";"";"";
"18.11.2019 10:00";"28.9";"755.8";"759.7";"";"10";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"17.8";"28.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"18.11.2019 04:00";"17.8";"755.3";"759.2";"";"23";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"16.7";"33.9";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"17.11.2019 22:00";"23.9";"756.1";"760.0";"";"21";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"13.9";"29.4";"";"";"";"";"";"16.0";"0.0";"";"";"";"";"";"";
"17.11.2019 16:00";"28.9";"755.8";"759.8";"";"15";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"13.9";"33.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"0.0";"";"";"";"";"";"";
"17.11.2019 10:00";"30.0";"757.3";"761.4";"";"14";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"12.8";"30.0";"";"";"";"";"";"16.0";"0.0";"";"";"";"";"";"";
"17.11.2019 04:00";"15.0";"757.0";"761.1";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.9";"22.2";"";"";"";"";"";"16.0";"12.2";"";"";"";"";"";"";
"16.11.2019 22:00";"18.3";"757.3";"761.4";"";"78";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"20.0";"";"";"";"";"";"16.0";"14.4";"";"";"";"";"";"";
"16.11.2019 16:00";"20.0";"756.1";"760.3";"";"76";"Wind blowing from the west-southwest";"5";"";"";"no clouds";" ";"";"";"13.3";"22.2";"";"";"";"";"";"16.0";"15.6";"";"";"";"";"";"";
"16.11.2019 10:00";"20.0";"757.8";"761.9";"";"65";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"";"";"12.8";"20.0";"";"";"";"";"";"8.0";"13.3";"";"";"";"";"";"";
"16.11.2019 04:00";"13.9";"757.0";"760.9";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.3";"21.1";"";"";"100-200";"";"";"11.0";"11.7";"";"";"";"";"";"";
"15.11.2019 22:00";"17.2";"758.1";"762.1";"";"81";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"18.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"13.9";"";"";"";"";"";"";
"15.11.2019 16:00";"18.3";"757.8";"762.0";"";"70";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"13.9";"21.1";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"15.11.2019 10:00";"17.8";"760.9";"765.1";"";"70";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"";"";"15.0";"18.3";"";"";"300-600";"";"";"8.0";"12.2";"";"";"";"";"";"";
"15.11.2019 04:00";"15.0";"760.3";"764.5";"";"83";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"13.9";"20.6";"";"";"100-200";"";"";"12.0";"12.2";"";"";"";"";"";"";
"14.11.2019 22:00";"17.8";"760.9";"764.8";"";"73";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"18.9";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"14.11.2019 16:00";"18.9";"759.6";"763.7";"";"68";"Wind blowing from the west";"7";"";"";"70 – 80%.";" ";"";"";"13.9";"20.6";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"14.11.2019 10:00";"17.8";"760.9";"765.0";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"";"";"13.9";"18.3";"";"";"300-600";"";"";"6.0";"12.8";"";"";"";"";"";"";
"14.11.2019 04:00";"14.4";"759.1";"763.1";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.9";"20.0";"";"";"200-300";"";"";"12.0";"11.7";"";"";"";"";"";"";
"13.11.2019 22:00";"16.1";"758.6";"762.6";"";"78";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"16.1";"17.8";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"13.11.2019 16:00";"17.8";"757.6";"761.5";"";"73";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"16.1";"20.0";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"13.11.2019 10:00";"18.9";"758.8";"763.0";"";"68";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";"Haze. ";"";"";"15.6";"19.4";"";"";"300-600";"";"";"4.8";"12.8";"";"";"";"";"";"";
"13.11.2019 04:00";"16.1";"757.6";"761.7";"";"84";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"16.1";"20.6";"";"";"200-300";"";"";"4.8";"13.3";"";"";"";"";"";"";
"12.11.2019 22:00";"16.7";"758.6";"762.4";"";"84";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"16.1";"18.9";"";"";"200-300";"";"";"14.0";"13.9";"";"";"";"";"";"";
"12.11.2019 16:00";"18.9";"757.6";"761.6";"";"73";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"16.1";"20.6";"";"";"300-600";"";"";"11.0";"13.9";"";"";"";"";"";"";
"12.11.2019 10:00";"19.4";"759.8";"763.9";"";"68";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";"Haze. ";"";"";"15.6";"19.4";"";"";"100-200";"";"";"4.8";"13.3";"";"";"";"";"";"";
"12.11.2019 04:00";"16.1";"758.8";"762.9";"";"84";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"16.1";"20.0";"";"";"200-300";"";"";"4.8";"13.3";"";"";"";"";"";"";
"11.11.2019 22:00";"17.2";"759.4";"763.3";"";"81";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"16.7";"18.3";"";"";"300-600";"";"";"11.0";"13.9";"";"";"";"";"";"";
"11.11.2019 16:00";"18.3";"758.1";"762.1";"";"73";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"17.2";"20.0";"";"";"2500 or more, or no clouds.";"";"";"14.0";"13.3";"";"";"";"";"";"";
"11.11.2019 10:00";"18.9";"759.1";"763.2";"";"68";"Wind blowing from the south-west";"3";"";"";"50%.";"Haze. ";"";"";"16.7";"18.9";"";"";"300-600";"";"";"9.0";"12.8";"";"";"";"";"";"";
"11.11.2019 04:00";"17.2";"757.6";"761.5";"";"76";"Wind blowing from the east";"2";"";"";"100%.";"Haze. ";"";"";"17.2";"22.2";"";"";"200-300";"";"";"6.0";"12.8";"";"";"";"";"";"";
"10.11.2019 22:00";"17.2";"757.6";"761.6";"";"81";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Haze. ";"";"";"15.6";"19.4";"";"";"200-300";"";"";"9.0";"13.9";"";"";"";"";"";"";
"10.11.2019 16:00";"18.9";"756.6";"760.5";"";"75";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"15.6";"22.2";"";"";"300-600";"";"";"16.0";"14.4";"";"";"";"";"";"";
"10.11.2019 10:00";"19.4";"758.3";"762.4";"";"71";"";"2";"";"";"20–30%.";"Haze. ";"";"";"15.6";"19.4";"";"";"200-300";"";"";"8.0";"13.9";"";"";"";"";"";"";
"10.11.2019 04:00";"16.1";"757.6";"761.5";"";"90";"Wind blowing from the south-east";"3";"";"";"50%.";" ";"";"";"15.6";"32.2";"";"";"Less than  50";"";"";"14.0";"14.4";"";"";"";"";"";"";
"09.11.2019 22:00";"18.9";"757.0";"761.0";"";"63";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"16.7";"23.3";"";"";"";"";"";"16.0";"11.7";"";"";"";"";"";"";
"09.11.2019 16:00";"23.0";"756.3";"760.3";"";"47";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"16.7";"32.2";"";"";"300-600";"";"";"16.0";"11.0";"";"";"";"";"";"";
"09.11.2019 10:00";"30.0";"758.3";"762.4";"";"10";"";"2";"";"";"20–30%.";" ";"";"";"15.0";"30.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"09.11.2019 04:00";"18.3";"757.6";"761.5";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.7";"25.6";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"08.11.2019 22:00";"20.6";"759.1";"763.0";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.3";"";"";"";"";"";"16.0";"11.7";"";"";"";"";"";"";
"08.11.2019 16:00";"22.8";"758.1";"762.1";"";"55";"Wind blowing from the west-southwest";"4";"";"";"no clouds";" ";"";"";"14.4";"25.6";"";"";"";"";"";"16.0";"13.3";"";"";"";"";"";"";
"08.11.2019 10:00";"22.2";"760.6";"764.8";"";"59";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"13.3";"22.2";"";"";"";"";"";"11.0";"13.9";"";"";"";"";"";"";
"08.11.2019 04:00";"15.0";"759.8";"763.9";"";"90";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"";"";"14.4";"20.0";"";"";"Less than  50";"";"";"4.0";"13.3";"";"";"";"";"";"";
"07.11.2019 22:00";"17.2";"760.6";"764.5";"";"87";"Wind blowing from the south-east";"2";"";"";"20–30%.";"Mist. ";"";"";"15.0";"18.9";"";"";"300-600";"";"";"9.0";"15.0";"";"";"";"";"";"";
"07.11.2019 16:00";"18.9";"759.1";"763.0";"";"73";"Wind blowing from the west";"6";"";"";"no clouds";"Haze. ";"";"";"15.0";"20.0";"";"";"";"";"";"9.0";"13.9";"";"";"";"";"";"";
"07.11.2019 10:00";"19.4";"760.3";"764.5";"";"76";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";"Haze. ";"";"";"15.0";"19.4";"";"";"300-600";"";"";"4.8";"15.0";"";"";"";"";"";"";
"07.11.2019 04:00";"15.0";"758.6";"762.5";"";"90";"Wind blowing from the east";"2";"";"";"100%.";"Mist. ";"";"";"15.0";"20.0";"";"";"200-300";"";"";"3.2";"13.3";"";"";"";"";"";"";
"06.11.2019 22:00";"17.2";"758.8";"762.8";"";"78";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"";"";"14.4";"17.8";"";"";"300-600";"";"";"9.0";"13.3";"";"";"";"";"";"";
"06.11.2019 16:00";"17.2";"756.8";"760.9";"";"76";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"14.4";"20.0";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"06.11.2019 10:00";"18.9";"758.1";"762.0";"";"73";"Wind blowing from the west";"4";"";"";"70 – 80%.";"Mist. ";"";"";"14.4";"18.9";"";"";"200-300";"";"";"4.8";"13.9";"";"";"";"";"";"";
"06.11.2019 04:00";"15.0";"757.0";"761.1";"";"87";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"";"";"14.4";"22.2";"";"";"100-200";"";"";"4.8";"12.8";"";"";"";"";"";"";
"05.11.2019 22:00";"17.8";"757.6";"761.6";"";"84";"Wind blowing from the south-southeast";"2";"";"";"20–30%.";" ";"";"";"13.9";"20.6";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"05.11.2019 16:00";"20.6";"756.3";"760.4";"";"66";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"13.9";"22.2";"";"";"";"";"";"16.0";"13.9";"";"";"";"";"";"";
"05.11.2019 10:00";"18.9";"758.3";"762.4";"";"73";"Wind blowing from the west";"4";"";"";"";"Mist. ";"";"";"13.9";"18.9";"";"";"";"";"";"8.0";"13.9";"";"";"";"";"";"";
"05.11.2019 04:00";"14.4";"757.3";"761.4";"";"87";"Wind blowing from the east-northeast";"2";"";"";"70 – 80%.";"Mist. ";"";"";"13.9";"23.9";"";"";"50-100";"";"";"2.0";"12.2";"";"";"";"";"";"";
"04.11.2019 22:00";"17.2";"757.6";"761.5";"";"81";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"13.3";"20.0";"";"";"";"";"";"16.0";"13.9";"";"";"";"";"";"";
"04.11.2019 16:00";"20.0";"755.8";"759.9";"";"70";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"13.3";"23.9";"";"";"";"";"";"16.0";"14.4";"";"";"";"";"";"";
"04.11.2019 10:00";"23.9";"757.3";"761.2";"";"19";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.7";"23.9";"";"";"300-600";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"04.11.2019 04:00";"13.9";"756.6";"760.5";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";"Fog or ice fog in patches. ";"";"";"13.3";"25.0";"";"";"Less than  50";"";"";"0.2";"12.2";"";"";"";"";"";"";
"03.11.2019 22:00";"17.2";"756.6";"760.6";"";"87";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"12.8";"21.1";"";"";"100-200";"";"";"14.0";"15.0";"";"";"";"";"";"";
"03.11.2019 16:00";"21.1";"755.8";"759.9";"";"47";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"12.8";"25.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"9.4";"";"";"";"";"";"";
"03.11.2019 10:00";"23.9";"757.6";"761.6";"";"14";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.1";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"03.11.2019 04:00";"12.8";"757.0";"761.1";"";"72";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"12.8";"27.8";"";"";"";"";"";"16.0";"7.8";"";"";"";"";"";"";
"02.11.2019 22:00";"17.8";"757.8";"761.8";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"21.7";"";"";"";"";"";"16.0";"10.6";"";"";"";"";"";"";
"02.11.2019 16:00";"21.1";"757.0";"761.2";"";"53";"Wind blowing from the west";"6";"";"";"70 – 80%.";" ";"";"";"11.7";"27.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"11.1";"";"";"";"";"";"";
"02.11.2019 10:00";"21.7";"759.6";"763.7";"";"14";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"12.2";"21.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.7";"Trace of precipitation";"6";"";"";"";"";
"02.11.2019 04:00";"14.4";"759.1";"763.0";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"27.8";"";"";"";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"01.11.2019 22:00";"17.2";"759.8";"763.8";"";"63";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"13.3";"21.7";"";"";"";"";"";"16.0";"10.0";"";"";"";"";"";"";
"01.11.2019 16:00";"21.7";"758.6";"762.7";"";"41";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"13.3";"27.8";"";"";"";"";"";"16.0";"7.8";"";"";"";"";"";"";
"01.11.2019 10:00";"25.6";"760.3";"764.3";"";"4";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"11.7";"25.6";"";"";"";"";"";"16.0";"-18.3";"";"";"";"";"";"";
"01.11.2019 04:00";"13.3";"759.6";"763.4";"";"14";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"13.3";"27.8";"";"";"";"";"";"16.0";"-13.9";"";"";"";"";"";"";
"31.10.2019 22:00";"18.3";"759.8";"763.7";"";"10";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"11.7";"23.3";"";"";"";"";"";"16.0";"-13.3";"";"";"";"";"";"";
