# Weather station Chicago / Midway (airport), USA, WMO_ID=72534,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72534&lang=en
#
"Local time in Chicago / Midway (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.11.2019 03:00";"2.2";"746.9";"764.0";"";"70";"Wind blowing from the north-west";"5";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"21.11.2019 21:00";"6.1";"744.4";"761.5";"";"74";"Wind blowing from the north-west";"5";"12";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"1.7";"Trace of precipitation";"3";"";"";"";"";
"21.11.2019 15:00";"11.1";"738.4";"755.4";"";"77";"Wind blowing from the west";"11";"15";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"7.2";"Trace of precipitation";"3";"";"";"";"";
"21.11.2019 09:00";"9.4";"738.9";"756.0";"";"90";"Wind blowing from the south";"8";"13";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"7.8";"8.0";"3";"";"";"";"";
"21.11.2019 03:00";"7.8";"743.6";"760.6";"";"73";"Wind blowing from the south";"7";"10";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"2000-2500";"";"";"14.0";"3.3";"Trace of precipitation";"3";"";"";"";"";
"20.11.2019 21:00";"7.2";"748.1";"765.4";"";"74";"Wind blowing from the south";"7";"14";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
"20.11.2019 15:00";"9.4";"748.9";"766.1";"";"66";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"3.3";"";"";"";"";"";"";
"20.11.2019 09:00";"5.6";"749.9";"767.2";"";"89";"";"2";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"6.0";"3.9";"";"";"";"";"";"";
"20.11.2019 03:00";"4.4";"747.7";"765.0";"";"89";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"4.8";"2.8";"";"";"";"";"";"";
"19.11.2019 21:00";"4.4";"744.4";"761.8";"";"89";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"8.0";"2.8";"Trace of precipitation";"3";"";"";"";"";
"19.11.2019 15:00";"4.4";"741.7";"758.9";"";"89";"Wind blowing from the north-west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"3.2";"2.8";"0.3";"3";"";"";"";"";
"19.11.2019 09:00";"3.9";"739.6";"757.0";"";"76";"Wind blowing from the east-southeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"12.0";"0.0";"";"";"";"";"";"";
"19.11.2019 03:00";"2.2";"738.4";"755.8";"";"79";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"-1.1";"";"";"";"";"";"";
"18.11.2019 21:00";"2.8";"739.2";"756.7";"";"82";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"0.0";"";"";"";"";"";"";
"18.11.2019 15:00";"4.4";"739.2";"756.4";"";"73";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"0.0";"";"";"";"";"";"";
"18.11.2019 09:00";"2.8";"740.4";"757.7";"";"86";"Wind blowing from the west-northwest";"3";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"6.0";"0.6";"";"";"";"";"";"";
"18.11.2019 03:00";"2.8";"739.9";"757.2";"";"93";"Wind blowing from the west";"3";"";"";"100%.";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"6.0";"1.7";"Trace of precipitation";"3";"";"";"";"";
"17.11.2019 21:00";"3.3";"741.4";"759.0";"";"83";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"1000-1500";"";"";"9.0";"0.6";"Trace of precipitation";"3";"";"";"";"";
"17.11.2019 15:00";"5.6";"742.6";"760.1";"";"62";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"17.11.2019 09:00";"0.0";"745.9";"763.5";"";"79";"Wind blowing from the south-east";"4";"11";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"14.0";"-3.3";"";"";"";"";"";"";
"17.11.2019 03:00";"-1.1";"749.2";"766.9";"";"79";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"16.11.2019 21:00";"1.1";"750.9";"768.6";"";"70";"Wind blowing from the south-east";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"16.11.2019 15:00";"5.0";"752.6";"770.4";"";"60";"Wind blowing from the east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"16.11.2019 09:00";"1.7";"755.8";"773.7";"";"82";"Wind blowing from the south-east";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"12.0";"-1.1";"";"";"";"";"";"";
"16.11.2019 03:00";"0.0";"754.9";"772.8";"";"82";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"14.0";"-2.8";"";"";"";"";"";"";
"15.11.2019 21:00";"0.0";"755.4";"773.2";"";"79";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"15.11.2019 15:00";"2.8";"753.9";"771.9";"";"67";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"14.0";"-2.8";"";"";"";"";"";"";
"15.11.2019 09:00";"-2.8";"753.9";"772.0";"";"72";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-7.2";"";"";"";"";"";"";
"15.11.2019 03:00";"-4.4";"752.9";"770.9";"";"75";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"14.0";"-8.3";"";"";"";"";"";"";
"14.11.2019 21:00";"-2.8";"752.9";"771.0";"";"69";"Wind blowing from the west";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-7.8";"";"";"";"";"";"";
"14.11.2019 15:00";"-0.6";"751.4";"769.3";"";"67";"Wind blowing from the west-northwest";"5";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"14.11.2019 09:00";"-2.2";"750.7";"768.6";"";"75";"Wind blowing from the north-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"-6.1";"";"";"";"";"";"";
"14.11.2019 03:00";"-2.8";"747.9";"765.9";"";"81";"Wind blowing from the south-west";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"14.0";"-5.6";"Trace of precipitation";"3";"";"";"";"";
"13.11.2019 21:00";"-2.8";"747.7";"765.7";"";"66";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"14.0";"-8.3";"Trace of precipitation";"3";"";"";"";"";
"13.11.2019 15:00";"-3.3";"746.9";"765.1";"";"46";"Wind blowing from the south-southwest";"9";"13";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-13.3";"";"";"";"";"";"";
"13.11.2019 09:00";"-8.9";"751.6";"770.2";"";"54";"Wind blowing from the south-southwest";"7";"12";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-16.7";"";"";"";"";"";"";
"13.11.2019 03:00";"-10.0";"753.9";"772.3";"";"58";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-16.7";"";"";"";"";"";"";
"12.11.2019 21:00";"-10.6";"755.4";"774.1";"";"59";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-17.2";"";"";"";"";"";"";
"12.11.2019 15:00";"-7.8";"756.4";"775.1";"";"45";"Wind blowing from the west-northwest";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-17.8";"";"";"";"";"";"";
"12.11.2019 09:00";"-11.1";"757.6";"776.3";"";"61";"Wind blowing from the north-west";"7";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-17.2";"";"";"";"";"";"";
"12.11.2019 03:00";"-11.1";"755.4";"773.9";"";"61";"Wind blowing from the north-west";"9";"15";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"-17.2";"";"";"";"";"";"";
"11.11.2019 21:00";"-7.8";"754.3";"772.6";"";"57";"Wind blowing from the north-west";"8";"13";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"-15.0";"Trace of precipitation";"3";"";"";"";"";
"11.11.2019 15:00";"-4.4";"751.6";"769.5";"";"75";"Wind blowing from the north-northwest";"9";"12";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"12.0";"-8.3";"Trace of precipitation";"3";"";"";"";"";
"11.11.2019 09:00";"-3.9";"750.7";"768.6";"";"85";"Wind blowing from the north";"8";"13";"";"";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"";"";"";"";"300-600";"";"";"1.2";"-6.1";"0.3";"3";"";"";"";"";
"11.11.2019 03:00";"1.7";"748.1";"765.7";"";"93";"Wind blowing from the north-northeast";"6";"";"";"100%.";"Continuous fall of snowflakes, moderate at time of observation. ";"";"";"";"";"";"";"200-300";"";"";"8.0";"0.6";"1.0";"3";"";"";"";"";
"10.11.2019 21:00";"4.4";"748.1";"765.7";"";"73";"Wind blowing from the north-northwest";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"0.0";"Trace of precipitation";"3";"";"";"";"";
"10.11.2019 15:00";"5.6";"746.2";"763.3";"";"73";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"1.1";"";"";"";"";"";"";
"10.11.2019 09:00";"5.6";"745.1";"762.5";"";"71";"Wind blowing from the north-northeast";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"0.6";"";"";"";"";"";"";
"10.11.2019 03:00";"6.1";"742.6";"759.9";"";"60";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"09.11.2019 21:00";"6.7";"742.6";"760.0";"";"55";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"09.11.2019 15:00";"8.3";"742.4";"759.9";"";"46";"Wind blowing from the south-west";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"09.11.2019 09:00";"1.1";"745.1";"763.0";"";"56";"Wind blowing from the south-southwest";"6";"10";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"09.11.2019 03:00";"-1.7";"748.4";"766.2";"";"51";"Wind blowing from the south-southwest";"5";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"-10.6";"";"";"";"";"";"";
"08.11.2019 21:00";"-2.2";"752.2";"770.1";"";"47";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-12.2";"";"";"";"";"";"";
"08.11.2019 15:00";"0.0";"754.6";"772.9";"";"33";"Wind blowing from the south-west";"5";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-14.4";"";"";"";"";"";"";
"08.11.2019 09:00";"-5.0";"757.6";"775.9";"";"57";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"-12.2";"";"";"";"";"";"";
"08.11.2019 03:00";"-6.7";"757.3";"775.5";"";"60";"Wind blowing from the north-west";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-13.3";"";"";"";"";"";"";
"07.11.2019 21:00";"-4.4";"757.1";"775.3";"";"48";"Wind blowing from the north-northwest";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"16.0";"-13.9";"";"";"";"";"";"";
"07.11.2019 15:00";"-0.6";"755.1";"773.1";"";"38";"Wind blowing from the north-northwest";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-13.3";"";"";"";"";"";"";
"07.11.2019 09:00";"-3.3";"756.6";"774.7";"";"53";"Wind blowing from the north-northwest";"7";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-11.7";"";"";"";"";"";"";
"07.11.2019 03:00";"-1.1";"754.3";"772.0";"";"79";"Wind blowing from the north";"7";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"";"";"";"";"300-600";"";"";"16.0";"-4.4";"Trace of precipitation";"3";"";"";"";"";
"06.11.2019 21:00";"1.7";"753.1";"770.8";"";"78";"Wind blowing from the north";"8";"11";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"300-600";"";"";"11.0";"-1.7";"Trace of precipitation";"3";"";"";"";"";
"06.11.2019 15:00";"13.3";"749.2";"766.4";"";"44";"Wind blowing from the west-southwest";"7";"9";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"1.1";"";"";"";"";"";"";
"06.11.2019 09:00";"5.0";"752.4";"769.9";"";"57";"Wind blowing from the south";"4";"10";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"-2.8";"Trace of precipitation";"3";"";"";"";"";
"06.11.2019 03:00";"1.7";"754.1";"771.9";"";"59";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"05.11.2019 21:00";"1.1";"753.6";"771.4";"";"52";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-7.8";"";"";"";"";"";"";
"05.11.2019 15:00";"5.0";"752.2";"769.8";"";"38";"Wind blowing from the west-northwest";"6";"10";"";"20–30%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"-8.3";"";"";"";"";"";"";
"05.11.2019 09:00";"3.9";"751.6";"769.3";"";"62";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"05.11.2019 03:00";"2.2";"749.2";"766.3";"";"73";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"04.11.2019 21:00";"5.6";"747.7";"764.8";"";"60";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"04.11.2019 15:00";"10.6";"744.4";"761.4";"";"54";"Wind blowing from the west";"7";"10";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"1.7";"";"";"";"";"";"";
"04.11.2019 09:00";"8.9";"743.4";"760.5";"";"61";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"04.11.2019 03:00";"8.3";"742.4";"759.2";"";"59";"Wind blowing from the south-southwest";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"0.6";"";"";"";"";"";"";
"03.11.2019 21:00";"10.0";"744.4";"761.7";"";"54";"Wind blowing from the south-southwest";"5";"10";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"1.1";"";"";"";"";"";"";
"03.11.2019 15:00";"11.7";"744.7";"761.8";"";"43";"Wind blowing from the south-southwest";"7";"13";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"03.11.2019 09:00";"3.3";"748.9";"766.3";"";"73";"Wind blowing from the south-southwest";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"03.11.2019 03:00";"0.0";"748.9";"766.6";"";"82";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"02.11.2019 21:00";"3.9";"749.2";"766.7";"";"55";"Wind blowing from the west";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"02.11.2019 15:00";"5.0";"748.1";"765.7";"";"55";"Wind blowing from the west";"7";"12";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"02.11.2019 09:00";"5.0";"747.7";"765.1";"";"76";"Wind blowing from the west-southwest";"4";"11";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"1.1";"";"";"";"";"";"";
"02.11.2019 03:00";"2.8";"747.9";"765.4";"";"89";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"11.0";"1.1";"Trace of precipitation";"3";"";"";"";"";
"01.11.2019 21:00";"3.3";"748.6";"766.4";"";"79";"Wind blowing from the west";"7";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"300-600";"";"";"12.0";"0.0";"Trace of precipitation";"3";"";"";"";"";
"01.11.2019 15:00";"7.8";"748.6";"766.1";"";"47";"Wind blowing from the south-southwest";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"01.11.2019 09:00";"-0.6";"750.9";"768.7";"";"79";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"01.11.2019 03:00";"-3.3";"749.9";"767.8";"";"84";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"12.0";"-5.6";"";"";"";"";"";"";
"31.10.2019 21:00";"-1.1";"748.4";"766.1";"";"75";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"-5.0";"";"";"";"";"";"";
