# Weather station Springfield (airport), USA, WMO_ID=72440,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72440&lang=en
#
"Local time in Springfield (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.11.2019 00:00";"3.9";"729.0";"763.6";"";"93";"Wind blowing from the north-northeast";"7";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"3.9";"14.4";"";"";"200-300";"";"";"16.0";"2.8";"12.0";"6";"";"";"";"";
"21.11.2019 18:00";"7.8";"727.7";"762.1";"";"86";"Wind blowing from the north";"6";"";"";"100%.";" ";"";"";"7.8";"16.1";"";"";"300-600";"";"";"14.0";"5.6";"";"";"";"";"";"";
"21.11.2019 12:00";"13.9";"726.7";"760.9";"";"87";"Wind blowing from the west-northwest";"4";"";"";"100%.";" ";"";"";"13.9";"";"";"";"300-600";"";"";"16.0";"11.7";"4.0";"6";"";"";"";"";
"21.11.2019 06:00";"14.4";"725.3";"759.1";"";"87";"Wind blowing from the south";"6";"11";"";"100%.";" ";"";"";"12.2";"21.1";"";"";"300-600";"";"";"16.0";"12.2";"0.8";"6";"";"";"";"";
"21.11.2019 00:00";"13.9";"725.8";"759.7";"";"62";"Wind blowing from the south-southeast";"8";"";"";"100%.";" ";"";"";"";"17.2";"";"";"1500-2000";"";"";"16.0";"6.7";"0.3";"6";"";"";"";"";
"20.11.2019 18:00";"17.2";"726.7";"761.1";"";"48";"Wind blowing from the south";"7";"11";"";"20–30%.";" ";"";"";"5.6";"21.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"6.1";"";"";"";"";"";"";
"20.11.2019 12:00";"17.8";"727.0";"761.4";"";"45";"Wind blowing from the south-southeast";"9";"13";"";"no clouds";" ";"";"";"7.2";"18.3";"";"";"";"";"";"16.0";"5.6";"";"";"";"";"";"";
"20.11.2019 06:00";"8.3";"727.5";"762.3";"";"59";"Wind blowing from the south-southeast";"6";"";"";"no clouds";" ";"";"";"5.6";"";"";"";"";"";"";"16.0";"0.6";"";"";"";"";"";"";
"20.11.2019 00:00";"7.8";"727.5";"761.9";"";"58";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"5.6";"11.7";"";"";"";"";"";"16.0";"0.0";"";"";"";"";"";"";
"19.11.2019 18:00";"7.2";"726.3";"760.9";"";"61";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"6.1";"17.2";"";"";"";"";"";"16.0";"0.0";"";"";"";"";"";"";
"19.11.2019 12:00";"15.0";"726.7";"761.0";"";"48";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"6.1";"15.0";"";"";"";"";"";"16.0";"3.9";"";"";"";"";"";"";
"19.11.2019 06:00";"6.1";"723.8";"758.3";"";"76";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"6.1";"13.9";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"19.11.2019 00:00";"11.1";"721.4";"755.4";"";"59";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"11.7";"";"";"";"";"";"16.0";"3.3";"Trace of precipitation";"6";"";"";"";"";
"18.11.2019 18:00";"11.7";"721.4";"755.9";"";"52";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"-1.6";"13.9";"";"";"2000-2500";"";"";"16.0";"2.2";"Trace of precipitation";"6";"";"";"";"";
"18.11.2019 12:00";"12.8";"722.8";"757.3";"";"47";"Wind blowing from the south-southwest";"5";"";"";"100%.";" ";"";"";"-1.7";"12.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"18.11.2019 06:00";"-0.6";"724.6";"759.2";"";"92";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"-1.7";"11.7";"";"";"";"";"";"11.0";"-1.7";"";"";"";"";"";"";
"18.11.2019 00:00";"0.6";"726.1";"760.8";"";"92";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"0.6";"9.4";"";"";"";"";"";"12.0";"-0.6";"";"";"";"";"";"";
"17.11.2019 18:00";"9.4";"726.1";"760.7";"";"66";"Wind blowing from the north-west";"5";"";"";"100%.";" ";"";"";"4.4";"11.7";"";"";"1000-1500";"";"";"16.0";"3.3";"";"";"";"";"";"";
"17.11.2019 12:00";"8.9";"726.7";"761.5";"";"50";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"4.4";"8.9";"";"";"2500 or more, or no clouds.";"";"";"14.0";"-1.1";"";"";"";"";"";"";
"17.11.2019 06:00";"4.4";"728.0";"762.8";"";"68";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"4.4";"";"";"";"";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"17.11.2019 00:00";"6.1";"729.4";"764.1";"";"60";"Wind blowing from the south-southeast";"5";"";"";"no clouds";" ";"";"";"-2.1";"7.2";"";"";"";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"16.11.2019 18:00";"6.1";"730.0";"765.0";"";"49";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"-2.1";"13.3";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"16.11.2019 12:00";"10.6";"732.7";"767.8";"";"39";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"-1.1";"10.6";"";"";"";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"16.11.2019 06:00";"-1.1";"733.9";"769.4";"";"66";"Wind blowing from the south-east";"4";"";"";"no clouds";" ";"";"";"-2.2";"11.1";"";"";"";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"16.11.2019 00:00";"0.0";"734.8";"770.0";"";"56";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"-6.7";"3.3";"";"";"";"";"";"16.0";"-7.8";"";"";"";"";"";"";
"15.11.2019 18:00";"3.3";"734.6";"770.5";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-6.6";"11.1";"";"";"";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"15.11.2019 12:00";"8.3";"736.8";"772.3";"";"39";"";"2";"";"";"no clouds";" ";"";"";"-6.7";"8.3";"";"";"";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"15.11.2019 06:00";"-6.7";"737.0";"772.8";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-6.7";"8.9";"";"";"";"";"";"12.0";"-8.3";"";"";"";"";"";"";
"15.11.2019 00:00";"-2.8";"736.6";"772.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-2.8";"4.4";"";"";"";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"14.11.2019 18:00";"4.4";"735.3";"770.8";"";"55";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"-0.5";"8.9";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"14.11.2019 12:00";"7.8";"735.1";"770.3";"";"51";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"1.1";"7.8";"";"";"";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"14.11.2019 06:00";"1.1";"732.4";"767.5";"";"61";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"-0.6";"8.9";"";"";"600-1000";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"14.11.2019 00:00";"0.0";"729.7";"764.9";"";"59";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"-7.1";"7.2";"";"";"";"";"";"16.0";"-7.2";"";"";"";"";"";"";
"13.11.2019 18:00";"6.7";"728.5";"763.8";"";"38";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"-7.1";"8.9";"";"";"1500-2000";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"13.11.2019 12:00";"3.9";"730.2";"765.7";"";"43";"Wind blowing from the south";"8";"";"";"no clouds";" ";"";"";"-7.8";"3.9";"";"";"";"";"";"16.0";"-7.8";"";"";"";"";"";"";
"13.11.2019 06:00";"-7.2";"731.9";"768.0";"";"71";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"-8.3";"-3.3";"";"";"";"";"";"16.0";"-11.7";"";"";"";"";"";"";
"13.11.2019 00:00";"-6.1";"734.6";"770.6";"";"59";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"";"-5.6";"";"";"";"";"";"16.0";"-12.8";"";"";"";"";"";"";
"12.11.2019 18:00";"-5.6";"737.5";"774.0";"";"60";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"-12.8";"-3.3";"";"";"";"";"";"16.0";"-12.2";"";"";"";"";"";"";
"12.11.2019 12:00";"-6.1";"741.4";"778.0";"";"54";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"-12.8";"-6.1";"";"";"";"";"";"16.0";"-13.9";"";"";"";"";"";"";
"12.11.2019 06:00";"-12.2";"741.4";"778.0";"";"76";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"-12.8";"";"";"";"";"";"";"16.0";"-15.6";"";"";"";"";"";"";
"12.11.2019 00:00";"-9.4";"741.2";"777.5";"";"74";"Wind blowing from the north";"6";"";"";"50%.";" ";"";"";"-9.4";"";"";"";"600-1000";"";"";"16.0";"-13.3";"";"";"";"";"";"";
"11.11.2019 18:00";"-6.1";"738.5";"774.4";"";"81";"Wind blowing from the north";"8";"13";"";"100%.";" ";"";"";"-6.1";"5.0";"";"";"300-600";"";"";"16.0";"-8.9";"0.5";"6";"";"";"";"";
"11.11.2019 12:00";"-2.2";"734.3";"769.4";"";"85";"Wind blowing from the north";"10";"19";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"";"";"-2.2";"12.2";"";"";"300-600";"";"";"4.8";"-4.4";"2.0";"6";"";"";"";"";
"11.11.2019 06:00";"5.0";"729.0";"763.5";"";"86";"Wind blowing from the north";"7";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"5.0";"23.9";"";"";"300-600";"";"";"11.0";"2.8";"0.5";"6";"";"";"";"";
"11.11.2019 00:00";"12.2";"726.7";"760.9";"";"80";"Wind blowing from the north-northwest";"3";"";"";"70 – 80%.";" ";"";"";"5.6";"13.9";"";"";"1000-1500";"";"";"16.0";"8.9";"";"";"";"";"";"";
"10.11.2019 18:00";"13.3";"725.3";"759.7";"";"67";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"5.6";"23.9";"";"";"";"";"";"16.0";"7.2";"";"";"";"";"";"";
"10.11.2019 12:00";"21.1";"727.0";"761.2";"";"51";"Wind blowing from the west-southwest";"5";"";"";"no clouds";" ";"";"";"5.6";"21.1";"";"";"";"";"";"16.0";"10.6";"";"";"";"";"";"";
"10.11.2019 06:00";"6.7";"727.5";"761.9";"";"89";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"5.6";"17.2";"";"";"";"";"";"16.0";"5.0";"";"";"";"";"";"";
"10.11.2019 00:00";"8.3";"728.0";"762.4";"";"80";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"0.0";"11.7";"";"";"";"";"";"16.0";"5.0";"";"";"";"";"";"";
"09.11.2019 18:00";"11.7";"728.2";"763.1";"";"64";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"0.0";"17.2";"";"";"";"";"";"16.0";"5.0";"";"";"";"";"";"";
"09.11.2019 12:00";"14.4";"730.0";"764.5";"";"51";"Wind blowing from the south-west";"7";"";"";"no clouds";" ";"";"";"0.0";"14.4";"";"";"";"";"";"16.0";"4.4";"";"";"";"";"";"";
"09.11.2019 06:00";"0.6";"730.9";"766.2";"";"75";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"0.0";"6.7";"";"";"";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"09.11.2019 00:00";"3.3";"733.1";"768.4";"";"57";"Wind blowing from the south";"5";"";"";"100%.";" ";"";"";"";"3.3";"";"";"1500-2000";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"08.11.2019 18:00";"1.1";"734.6";"770.3";"";"64";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"-6.6";"6.7";"";"";"";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"08.11.2019 12:00";"3.9";"738.0";"773.9";"";"36";"";"2";"";"";"no clouds";" ";"";"";"-7.2";"3.9";"";"";"";"";"";"16.0";"-10.0";"";"";"";"";"";"";
"08.11.2019 06:00";"-6.1";"738.7";"774.7";"";"78";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"-6.7";"";"";"";"";"";"";"16.0";"-9.4";"";"";"";"";"";"";
"08.11.2019 00:00";"-3.9";"739.3";"775.1";"";"69";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"-3.9";"12.2";"";"";"";"";"";"16.0";"-8.9";"";"";"";"";"";"";
"07.11.2019 18:00";"1.1";"738.3";"773.8";"";"56";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"1.1";"4.4";"";"";"";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"07.11.2019 12:00";"2.8";"738.0";"773.2";"";"70";"Wind blowing from the north-northeast";"6";"";"";"100%.";" ";"";"";"0.6";"12.2";"";"";"300-600";"";"";"16.0";"-2.2";"Trace of precipitation";"6";"";"";"";"";
"07.11.2019 06:00";"2.8";"735.6";"770.6";"";"86";"Wind blowing from the north";"6";"";"";"100%.";" ";"";"";"2.8";"13.3";"";"";"300-600";"";"";"16.0";"0.6";"5.0";"6";"";"";"";"";
"07.11.2019 00:00";"12.2";"731.9";"766.5";"";"93";"Wind blowing from the north";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"8.3";"12.8";"";"";"100-200";"";"";"8.0";"11.1";"13.0";"6";"";"";"";"";
"06.11.2019 18:00";"12.8";"730.7";"765.3";"";"90";"Wind blowing from the east-southeast";"2";"";"";"100%.";" ";"";"";"8.3";"13.3";"";"";"300-600";"";"";"11.0";"11.1";"Trace of precipitation";"6";"";"";"";"";
"06.11.2019 12:00";"10.6";"732.7";"767.2";"";"89";"Wind blowing from the south-southeast";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"8.3";"10.6";"";"";"300-600";"";"";"4.0";"8.9";"3.0";"6";"";"";"";"";
"06.11.2019 06:00";"8.3";"732.9";"767.6";"";"90";"Wind blowing from the south-southeast";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"7.8";"15.6";"";"";"600-1000";"";"";"4.8";"6.7";"4.0";"6";"";"";"";"";
"06.11.2019 00:00";"10.0";"733.9";"768.4";"";"71";"Wind blowing from the south-southeast";"6";"12";"";"70 – 80%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"5.0";"11.7";"";"";"1000-1500";"";"";"16.0";"5.0";"Trace of precipitation";"6";"";"";"";"";
"05.11.2019 18:00";"11.7";"733.9";"768.8";"";"57";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"5.0";"15.6";"";"";"";"";"";"16.0";"3.3";"";"";"";"";"";"";
"05.11.2019 12:00";"13.3";"735.1";"769.9";"";"47";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"4.4";"13.3";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"05.11.2019 06:00";"5.0";"734.1";"769.0";"";"86";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"5.0";"18.3";"";"";"";"";"";"16.0";"2.8";"Trace of precipitation";"6";"";"";"";"";
"05.11.2019 00:00";"7.8";"731.9";"766.4";"";"86";"Wind blowing from the north-east";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"4.4";"13.3";"";"";"1000-1500";"";"";"16.0";"5.6";"0.3";"6";"";"";"";"";
"04.11.2019 18:00";"13.3";"728.7";"763.3";"";"57";"Wind blowing from the north-northeast";"6";"";"";"100%.";" ";"";"";"4.4";"18.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"04.11.2019 12:00";"16.1";"728.5";"762.9";"";"50";"";"2";"";"";"no clouds";" ";"";"";"4.4";"16.7";"";"";"";"";"";"16.0";"5.6";"";"";"";"";"";"";
"04.11.2019 06:00";"5.0";"727.7";"762.4";"";"73";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"4.4";"17.8";"";"";"";"";"";"16.0";"0.6";"";"";"";"";"";"";
"04.11.2019 00:00";"7.2";"728.2";"762.6";"";"63";"Wind blowing from the south";"5";"";"";"no clouds";" ";"";"";"-0.5";"11.1";"";"";"";"";"";"16.0";"0.6";"";"";"";"";"";"";
"03.11.2019 18:00";"10.6";"727.5";"762.2";"";"41";"Wind blowing from the south";"4";"";"";"no clouds";" ";"";"";"-0.5";"17.8";"";"";"";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"03.11.2019 12:00";"14.4";"730.4";"765.4";"";"41";"Wind blowing from the south-southwest";"5";"";"";"no clouds";" ";"";"";"-0.6";"14.4";"";"";"";"";"";"16.0";"1.1";"";"";"";"";"";"";
"03.11.2019 06:00";"0.0";"732.4";"767.6";"";"85";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"-0.6";"11.1";"";"";"";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"03.11.2019 00:00";"1.1";"733.9";"769.0";"";"70";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"0.0";"6.7";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"02.11.2019 18:00";"7.2";"734.6";"769.9";"";"48";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"0.0";"11.1";"";"";"";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"02.11.2019 12:00";"9.4";"736.8";"771.9";"";"44";"Wind blowing from the west";"5";"7";"";"no clouds";" ";"";"";"1.1";"9.4";"";"";"";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"02.11.2019 06:00";"1.7";"735.8";"771.1";"";"85";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"0.0";"13.9";"";"";"";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"02.11.2019 00:00";"2.8";"734.6";"769.6";"";"67";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"-3.2";"7.2";"";"";"";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"01.11.2019 18:00";"7.2";"732.7";"768.1";"";"48";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"-3.2";"13.9";"";"";"";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"01.11.2019 12:00";"11.1";"733.6";"768.8";"";"38";"Wind blowing from the south-southwest";"4";"";"";"no clouds";" ";"";"";"-2.8";"11.1";"";"";"";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"01.11.2019 06:00";"-2.2";"734.1";"769.7";"";"81";"Wind blowing from the south-southeast";"4";"";"";"no clouds";" ";"";"";"-3.3";"5.0";"";"";"";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"01.11.2019 00:00";"-2.8";"734.1";"769.7";"";"78";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"-2.8";"3.3";"";"";"";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"31.10.2019 18:00";"1.7";"734.3";"770.0";"";"57";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"-2.1";"5.0";"";"";"";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"31.10.2019 12:00";"3.3";"734.1";"769.4";"";"52";"Wind blowing from the north-west";"8";"11";"";"no clouds";" ";"";"";"-2.2";"3.3";"";"";"";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"31.10.2019 06:00";"-1.7";"731.7";"767.1";"";"82";"Wind blowing from the north-west";"8";"11";"";"100%.";" ";"";"";"-1.7";"3.9";"";"";"300-600";"";"";"16.0";"-4.4";"Trace of precipitation";"6";"";"";"";"";
