# Weather station Newark (airport), USA, WMO_ID=72502,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72502&lang=en
#
"Local time in Newark (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.11.2019 13:00";"15.6";"761.6";"762.2";"";"44";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"2.2";"15.6";"";"";"";"";"";"16.0";"3.3";"";"";"";"";"";"";
"26.11.2019 07:00";"3.3";"761.1";"761.7";"";"89";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"3.3";"12.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"26.11.2019 01:00";"5.0";"759.6";"760.3";"";"79";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"2.2";"9.4";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"25.11.2019 19:00";"9.4";"758.5";"759.2";"";"64";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"2.2";"12.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
"25.11.2019 13:00";"11.7";"756.7";"757.3";"";"52";"Wind blowing from the south-west";"6";"";"";"50%.";" ";"";"";"1.7";"12.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.2";"";"";"";"";"";"";
"25.11.2019 07:00";"3.9";"756.3";"756.7";"";"73";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"2.2";"7.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"25.11.2019 01:00";"3.9";"752.5";"753.1";"";"73";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"3.3";"6.1";"";"";"";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"24.11.2019 19:00";"5.6";"748.6";"749.3";"";"65";"Wind blowing from the west";"7";"12";"";"70 – 80%.";" ";"";"";"3.3";"7.2";"";"";"2000-2500";"";"";"16.0";"-0.6";"0.3";"6";"";"";"";"";
"24.11.2019 13:00";"6.7";"742.8";"743.3";"";"89";"Wind blowing from the west-northwest";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"5.0";"6.7";"";"";"200-300";"";"";"12.0";"5.0";"4.0";"6";"";"";"";"";
"24.11.2019 07:00";"5.0";"744.3";"744.9";"";"96";"Wind blowing from the north-northeast";"7";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"3.3";"7.8";"";"";"100-200";"";"";"11.0";"4.4";"13.0";"6";"";"";"";"";
"24.11.2019 01:00";"3.3";"753.2";"753.7";"";"93";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"";"";"-1.0";"6.1";"";"";"600-1000";"";"";"4.8";"2.2";"1.0";"6";"";"";"";"";
"23.11.2019 19:00";"6.1";"758.3";"759.0";"";"47";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"-1.0";"7.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"23.11.2019 13:00";"7.2";"760.6";"761.1";"";"37";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"0.6";"7.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"23.11.2019 07:00";"0.0";"763.3";"763.8";"";"66";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"-1.1";"11.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"23.11.2019 01:00";"2.8";"761.6";"762.1";"";"50";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"2.8";"9.4";"";"";"";"";"";"16.0";"-6.7";"";"";"";"";"";"";
"22.11.2019 19:00";"6.7";"759.1";"759.6";"";"47";"Wind blowing from the north-west";"9";"12";"";"50%.";" ";"";"";"6.7";"11.7";"";"";"600-1000";"";"";"16.0";"-3.9";"1.0";"6";"";"";"";"";
"22.11.2019 13:00";"10.0";"753.4";"754.0";"";"83";"Wind blowing from the west-southwest";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"9.4";"11.7";"";"";"1500-2000";"";"";"8.0";"7.2";"0.5";"6";"";"";"";"";
"22.11.2019 07:00";"9.4";"757.0";"757.7";"";"64";"Wind blowing from the south-west";"6";"";"";"100%.";" ";"";"";"7.8";"";"";"";"1500-2000";"";"";"16.0";"2.8";"";"";"";"";"";"";
"22.11.2019 01:00";"8.9";"760.3";"761.0";"";"58";"Wind blowing from the south";"5";"";"";"100%.";" ";"";"";"3.9";"10.0";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.1";"Trace of precipitation";"6";"";"";"";"";
"21.11.2019 19:00";"10.0";"763.6";"764.2";"";"54";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"3.9";"12.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.1";"";"";"";"";"";"";
"21.11.2019 13:00";"12.2";"764.9";"765.4";"";"42";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"3.9";"12.2";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"21.11.2019 07:00";"3.9";"766.4";"767.0";"";"70";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"3.9";"10.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"21.11.2019 01:00";"5.6";"764.4";"765.0";"";"60";"Wind blowing from the north-northwest";"5";"";"";"50%.";" ";"";"";"4.4";"7.2";"";"";"1500-2000";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"20.11.2019 19:00";"7.2";"762.6";"763.3";"";"56";"Wind blowing from the north-west";"5";"10";"";"70 – 80%.";" ";"";"";"4.4";"10.6";"";"";"1000-1500";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"20.11.2019 13:00";"8.9";"760.0";"760.7";"";"44";"Wind blowing from the north-west";"6";"";"";"70 – 80%.";" ";"";"";"4.4";"8.9";"";"";"1000-1500";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"20.11.2019 07:00";"4.4";"759.3";"759.8";"";"70";"Wind blowing from the north-northwest";"7";"";"";"100%.";" ";"";"";"4.4";"10.0";"";"";"600-1000";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"20.11.2019 01:00";"6.1";"757.8";"758.5";"";"68";"Wind blowing from the north-northeast";"6";"";"";"100%.";" ";"";"";"5.0";"7.8";"";"";"600-1000";"";"";"16.0";"0.6";"";"";"";"";"";"";
"19.11.2019 19:00";"6.7";"757.8";"758.4";"";"65";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";" ";"";"";"5.0";"10.0";"";"";"600-1000";"";"";"16.0";"0.6";"";"";"";"";"";"";
"19.11.2019 13:00";"9.4";"755.8";"756.3";"";"64";"Wind blowing from the north-west";"3";"";"";"50%.";" ";"";"";"5.0";"10.0";"";"";"600-1000";"";"";"16.0";"2.8";"";"";"";"";"";"";
"19.11.2019 07:00";"5.6";"755.2";"755.9";"";"92";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"5.0";"6.1";"";"";"100-200";"";"";"12.0";"4.4";"4.0";"6";"";"";"";"";
"19.11.2019 01:00";"5.0";"754.2";"754.8";"";"96";"Wind blowing from the west";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"5.6";"";"";"200-300";"";"";"3.2";"4.4";"9.0";"6";"";"";"";"";
"18.11.2019 19:00";"5.0";"754.5";"755.0";"";"93";"Wind blowing from the north";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"2.8";"6.1";"";"";"200-300";"";"";"4.0";"3.9";"Trace of precipitation";"6";"";"";"";"";
"18.11.2019 13:00";"5.6";"755.2";"755.9";"";"85";"Wind blowing from the north-northwest";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"2.8";"6.1";"";"";"300-600";"";"";"12.0";"3.3";"0.3";"6";"";"";"";"";
"18.11.2019 07:00";"2.8";"759.1";"759.6";"";"96";"Wind blowing from the north-northeast";"6";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"2.8";"6.1";"";"";"100-200";"";"";"4.0";"2.2";"Trace of precipitation";"6";"";"";"";"";
"18.11.2019 01:00";"3.9";"761.6";"762.1";"";"70";"Wind blowing from the north";"8";"";"";"70 – 80%.";" ";"";"";"";"5.0";"";"";"600-1000";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"17.11.2019 19:00";"5.0";"765.4";"765.9";"";"62";"Wind blowing from the north-northeast";"7";"";"";"100%.";" ";"";"";"-2.1";"6.1";"";"";"600-1000";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"17.11.2019 13:00";"5.6";"767.7";"768.3";"";"58";"Wind blowing from the north-northeast";"9";"";"";"70 – 80%.";" ";"";"";"-1.1";"5.6";"";"";"1000-1500";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"17.11.2019 07:00";"-1.1";"770.7";"771.3";"";"47";"Wind blowing from the north-northeast";"7";"";"";"70 – 80%.";" ";"";"";"-2.2";"6.1";"";"";"1000-1500";"";"";"16.0";"-11.1";"";"";"";"";"";"";
"17.11.2019 01:00";"-1.7";"772.5";"773.0";"";"45";"Wind blowing from the north-northeast";"6";"";"";"20–30%.";" ";"";"";"-1.7";"4.4";"";"";"1000-1500";"";"";"16.0";"-12.2";"";"";"";"";"";"";
"16.11.2019 19:00";"1.7";"773.2";"773.8";"";"31";"Wind blowing from the north";"7";"";"";"20–30%.";" ";"";"";"0.0";"6.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-13.9";"";"";"";"";"";"";
"16.11.2019 13:00";"5.6";"772.5";"773.2";"";"13";"Wind blowing from the north-northeast";"7";"";"";"20–30%.";" ";"";"";"0.0";"5.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-21.1";"";"";"";"";"";"";
"16.11.2019 07:00";"0.0";"772.3";"772.7";"";"40";"Wind blowing from the north";"8";"10";"";"20–30%.";" ";"";"";"0.0";"11.1";"";"";"1000-1500";"";"";"16.0";"-12.2";"";"";"";"";"";"";
"16.11.2019 01:00";"4.4";"767.7";"768.2";"";"53";"Wind blowing from the north";"6";"10";"";"50%.";" ";"";"";"-1.6";"8.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"15.11.2019 19:00";"7.8";"765.7";"766.2";"";"40";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"-1.6";"11.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"15.11.2019 13:00";"10.6";"765.1";"765.7";"";"32";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"-2.2";"10.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"15.11.2019 07:00";"-1.7";"767.9";"768.4";"";"75";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"-1.7";"7.8";"";"";"1500-2000";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"15.11.2019 01:00";"2.2";"768.4";"769.1";"";"64";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"-4.3";"6.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"14.11.2019 19:00";"6.7";"769.2";"769.8";"";"47";"Wind blowing from the south";"4";"";"";"70 – 80%.";" ";"";"";"-4.3";"7.8";"";"";"1000-1500";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"14.11.2019 13:00";"6.7";"770.7";"771.4";"";"40";"Wind blowing from the south-southwest";"6";"";"";"70 – 80%.";" ";"";"";"-3.3";"6.7";"";"";"1000-1500";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"14.11.2019 07:00";"-2.8";"772.8";"773.2";"";"61";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";" ";"";"";"-4.4";"1.7";"";"";"600-1000";"";"";"16.0";"-9.4";"";"";"";"";"";"";
"14.11.2019 01:00";"-3.3";"772.8";"773.3";"";"53";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"-5.6";"-0.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-11.7";"";"";"";"";"";"";
"13.11.2019 19:00";"-0.6";"772.3";"772.9";"";"35";"Wind blowing from the north-west";"4";"";"";"50%.";" ";"";"";"-5.6";"1.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-14.4";"";"";"";"";"";"";
"13.11.2019 13:00";"1.1";"769.9";"770.5";"";"28";"Wind blowing from the west-northwest";"7";"10";"";"20–30%.";" ";"";"";"-5.6";"1.1";"";"";"1000-1500";"";"";"16.0";"-15.6";"";"";"";"";"";"";
"13.11.2019 07:00";"-5.6";"768.7";"769.3";"";"52";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"-5.6";"";"";"";"1000-1500";"";"";"16.0";"-13.9";"";"";"";"";"";"";
"13.11.2019 01:00";"-3.9";"766.4";"766.9";"";"39";"Wind blowing from the north-west";"7";"";"";"20–30%.";" ";"";"";"-3.9";"12.8";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-16.1";"";"";"";"";"";"";
"12.11.2019 19:00";"-0.6";"763.6";"764.2";"";"42";"Wind blowing from the north-west";"8";"14";"";"20–30%.";" ";"";"";"-0.6";"11.7";"";"";"600-1000";"";"";"16.0";"-12.2";"";"";"";"";"";"";
"12.11.2019 13:00";"1.7";"759.3";"760.0";"";"61";"Wind blowing from the north-west";"9";"13";"";"100%.";" ";"";"";"1.7";"12.8";"";"";"600-1000";"";"";"16.0";"-5.0";"0.8";"6";"";"";"";"";
"12.11.2019 07:00";"11.7";"754.2";"754.9";"";"74";"Wind blowing from the west-southwest";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"11.1";"";"";"";"1000-1500";"";"";"14.0";"7.2";"Trace of precipitation";"6";"";"";"";"";
"12.11.2019 01:00";"12.2";"755.5";"756.0";"";"80";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"5.6";"13.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"8.9";"";"";"";"";"";"";
"11.11.2019 13:00";"15.6";"761.8";"762.4";"";"50";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"6.7";"15.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"11.11.2019 07:00";"6.7";"763.3";"763.9";"";"71";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"5.6";"11.7";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.7";"";"";"";"";"";"";
"11.11.2019 01:00";"8.3";"763.3";"763.9";"";"66";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"10.0";"";"";"1500-2000";"";"";"16.0";"2.2";"";"";"";"";"";"";
"10.11.2019 19:00";"9.4";"762.1";"762.7";"";"52";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"0.6";"11.7";"";"";"1500-2000";"";"";"16.0";"0.0";"";"";"";"";"";"";
"10.11.2019 13:00";"10.6";"761.8";"762.5";"";"46";"Wind blowing from the south-west";"6";"";"";"70 – 80%.";" ";"";"";"1.7";"10.6";"";"";"2000-2500";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"10.11.2019 07:00";"1.7";"764.4";"764.9";"";"61";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"0.0";"5.0";"";"";"2000-2500";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"10.11.2019 01:00";"2.2";"765.4";"766.0";"";"48";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"3.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-7.8";"";"";"";"";"";"";
"09.11.2019 19:00";"3.9";"766.6";"767.2";"";"55";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"-3.8";"5.0";"";"";"1000-1500";"";"";"16.0";"-4.4";"Trace of precipitation";"6";"";"";"";"";
"09.11.2019 13:00";"3.9";"768.4";"769.0";"";"31";"";"2";"";"";"70 – 80%.";" ";"";"";"-0.6";"4.4";"";"";"1500-2000";"";"";"16.0";"-11.7";"";"";"";"";"";"";
"09.11.2019 07:00";"-2.8";"770.7";"771.4";"";"69";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"-3.9";"5.0";"";"";"600-1000";"";"";"16.0";"-7.8";"";"";"";"";"";"";
"09.11.2019 01:00";"-1.7";"770.2";"770.8";"";"58";"Wind blowing from the north-west";"3";"";"";"20–30%.";" ";"";"";"-1.7";"4.4";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-8.9";"";"";"";"";"";"";
"08.11.2019 19:00";"1.1";"768.4";"769.1";"";"38";"Wind blowing from the north-west";"6";"9";"";"20–30%.";" ";"";"";"0.6";"5.0";"";"";"1500-2000";"";"";"16.0";"-11.7";"";"";"";"";"";"";
"08.11.2019 13:00";"5.0";"765.1";"765.6";"";"32";"Wind blowing from the north-west";"10";"14";"";"50%.";" ";"";"";"0.6";"5.0";"";"";"1500-2000";"";"";"16.0";"-10.6";"";"";"";"";"";"";
"08.11.2019 07:00";"0.6";"764.6";"765.3";"";"61";"Wind blowing from the west-northwest";"5";"";"";"20–30%.";" ";"";"";"0.6";"15.0";"";"";"600-1000";"";"";"16.0";"-6.1";"";"";"";"";"";"";
"08.11.2019 01:00";"4.4";"762.1";"762.7";"";"63";"Wind blowing from the north-northwest";"9";"13";"";"70 – 80%.";" ";"";"";"4.4";"9.4";"";"";"600-1000";"";"";"16.0";"-2.2";"0.5";"6";"";"";"";"";
"07.11.2019 19:00";"10.0";"762.1";"762.7";"";"86";"Wind blowing from the west";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"5.0";"15.0";"";"";"600-1000";"";"";"11.0";"7.8";"2.0";"6";"";"";"";"";
"07.11.2019 13:00";"13.3";"762.9";"763.5";"";"57";"Wind blowing from the south-west";"6";"";"";"100%.";" ";"";"";"8.3";"13.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"07.11.2019 07:00";"8.9";"766.6";"767.3";"";"58";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"4.4";"13.3";"";"";"2000-2500";"";"";"16.0";"1.1";"Trace of precipitation";"6";"";"";"";"";
"07.11.2019 01:00";"5.0";"769.9";"770.5";"";"62";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"4.4";"10.6";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"06.11.2019 19:00";"10.0";"770.7";"771.3";"";"35";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"5.6";"13.3";"";"";"";"";"";"16.0";"-5.0";"";"";"";"";"";"";
"06.11.2019 13:00";"12.8";"770.5";"771.0";"";"30";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"5.6";"13.3";"";"";"1500-2000";"";"";"16.0";"-4.4";"";"";"";"";"";"";
"06.11.2019 07:00";"5.6";"770.5";"771.1";"";"76";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"5.6";"16.1";"";"";"1500-2000";"";"";"16.0";"1.7";"";"";"";"";"";"";
"06.11.2019 01:00";"10.0";"767.2";"767.8";"";"63";"Wind blowing from the north-northwest";"4";"";"";"70 – 80%.";" ";"";"";"7.2";"13.3";"";"";"1000-1500";"";"";"16.0";"3.3";"";"";"";"";"";"";
"05.11.2019 19:00";"12.8";"764.6";"765.4";"";"59";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"7.2";"16.1";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"05.11.2019 13:00";"15.6";"764.1";"764.7";"";"70";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"10.6";"16.1";"";"";"300-600";"";"";"16.0";"10.0";"";"";"";"";"";"";
"05.11.2019 07:00";"10.6";"766.9";"767.4";"";"80";"Wind blowing from the west-northwest";"2";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"7.2";"Trace of precipitation";"6";"";"";"";"";
"05.11.2019 01:00";"10.6";"768.2";"768.8";"";"71";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"11.7";"";"";"600-1000";"";"";"16.0";"5.6";"";"";"";"";"";"";
"04.11.2019 19:00";"11.1";"769.0";"769.6";"";"57";"Wind blowing from the south";"5";"";"";"20–30%.";" ";"";"";"1.7";"13.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"2.8";"";"";"";"";"";"";
"04.11.2019 13:00";"13.3";"769.5";"770.2";"";"33";"Wind blowing from the south-southeast";"4";"";"";"50%.";" ";"";"";"2.8";"13.3";"";"";"2500 or more, or no clouds.";"";"";"16.0";"-2.8";"";"";"";"";"";"";
"04.11.2019 07:00";"2.8";"770.2";"770.8";"";"70";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"1.7";"12.8";"";"";"";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"04.11.2019 01:00";"5.0";"768.7";"769.3";"";"55";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"2.2";"9.4";"";"";"";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"03.11.2019 19:00";"9.4";"766.2";"766.8";"";"41";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"2.2";"12.8";"";"";"2000-2500";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"03.11.2019 13:00";"11.7";"763.9";"764.5";"";"40";"Wind blowing from the west";"6";"";"";"70 – 80%.";" ";"";"";"3.9";"12.8";"";"";"1500-2000";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"03.11.2019 07:00";"4.4";"763.3";"763.9";"";"70";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"2.2";"11.7";"";"";"1500-2000";"";"";"16.0";"-0.6";"";"";"";"";"";"";
"03.11.2019 01:00";"6.1";"762.4";"763.0";"";"65";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"2.2";"10.6";"";"";"";"";"";"16.0";"0.0";"";"";"";"";"";"";
"02.11.2019 19:00";"10.6";"762.6";"763.3";"";"69";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"2.2";"11.7";"";"";"1000-1500";"";"";"16.0";"5.0";"";"";"";"";"";"";
"02.11.2019 13:00";"10.6";"764.6";"765.3";"";"52";"Wind blowing from the south";"5";"";"";"50%.";" ";"";"";"3.3";"11.1";"";"";"1000-1500";"";"";"16.0";"1.1";"";"";"";"";"";"";
"02.11.2019 07:00";"3.9";"767.9";"768.5";"";"70";"Wind blowing from the north-northeast";"2";"";"";"20–30%.";" ";"";"";"2.2";"16.7";"";"";"600-1000";"";"";"16.0";"-1.1";"";"";"";"";"";"";
"02.11.2019 01:00";"5.6";"767.9";"768.4";"";"60";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"5.6";"13.9";"";"";"";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"01.11.2019 19:00";"10.0";"766.6";"767.3";"";"41";"Wind blowing from the north-west";"6";"";"";"no clouds";" ";"";"";"7.2";"13.9";"";"";"";"";"";"16.0";"-2.8";"";"";"";"";"";"";
